,id,name,gender,age,zip,format,yoe,phone,warehouse,style,rating,matches,status
50,50,"['Carlos', 'Speakman']",male,25,94539,m,4,6856904955,3,defensive,1627.0355731651032,{},False
51,51,"['David', 'Willard']",male,20,95035,d,1,2397736293,6,aggressive,1892.8656438037788,{},False
52,52,"['Annette', 'Brashier']",female,24,94538,sd,3,4717239571,4,neutral,1337.3562587756714,{},False
53,53,"['Jorge', 'Segura']",male,35,95008,d,7,3849009453,1,neutral,1634.4523608220945,{},True
54,54,"['Brenda', 'Lafosse']",female,30,94538,sd,5,9714300703,1,neutral,1011.386918562839,{},False
55,55,"['William', 'Becerra']",male,26,95051,sdm,7,6065561654,1,neutral,1241.878731084136,{},False
56,56,"['Morris', 'Hartranft']",male,35,95008,sd,10,0002657253,3,aggressive,1808.4747922731433,{},False
57,57,"['Sam', 'Cavitt']",male,30,94539,s,4,3157625183,6,aggressive,1868.8519174240657,{},False
58,58,"['David', 'White']",male,33,95035,d,9,0993176387,6,aggressive,1337.2551615715195,{},False
59,59,"['Richard', 'Warf']",male,25,95008,s,0,1289195965,4,neutral,1119.0124414738061,{},False
60,60,"['David', 'Wood']",male,37,95035,s,0,6063360150,5,defensive,1392.3397096067592,{},False
61,61,"['Michelle', 'Bunch']",female,30,95008,sdm,3,8244691305,0,neutral,2187.2902278746765,{},False
62,62,"['Neva', 'Martin']",female,27,95008,s,4,4719535841,3,neutral,1417.6502618773561,{},False
63,63,"['Joan', 'Hassan']",female,33,95035,s,0,1354339980,5,defensive,1942.3483171220919,{},False
64,64,"['Cori', 'Alverson']",female,35,95051,sd,0,2436024347,4,defensive,1063.333469369873,{},False
65,65,"['Dorothy', 'Moore']",female,32,94568,sm,7,8896121256,4,neutral,1977.0195813240257,{},False
66,66,"['David', 'Moser']",male,24,95035,dm,5,5140100390,5,defensive,1628.8428789921004,{},False
67,67,"['Bruce', 'Freed']",male,29,95035,dm,3,2376574215,6,defensive,1645.4940187152495,{},False
68,68,"['Joe', 'Wolfgang']",male,27,95035,m,6,0944229276,5,aggressive,1866.4953030969207,{},False
69,69,"['John', 'Flanagan']",male,35,95035,dm,10,6324019575,5,neutral,1545.9368534436196,{},False
70,70,"['Maritza', 'Quintana']",female,21,95051,sd,6,8107404501,3,aggressive,1851.022031355302,{},False
71,71,"['Julia', 'Abrams']",female,25,95008,d,4,7390708630,1,aggressive,1098.9586038045468,{},False
72,72,"['Yon', 'Garza']",female,43,94568,sm,7,6968623119,4,aggressive,1727.2525259132087,{},True
73,73,"['George', 'Schuster']",male,25,94538,sdm,3,6174148211,5,defensive,1253.1605212719496,{},False
74,74,"['Christopher', 'Sliva']",male,31,94538,sd,0,1131063583,5,defensive,796.8428265480051,{},True
75,75,"['Burma', 'Trytten']",female,35,94539,s,1,2921128139,3,aggressive,1411.439947801336,{},False
76,76,"['Xavier', 'Davis']",male,33,95035,sd,3,2938876489,3,defensive,1057.6201077471615,{},False
77,77,"['Charlotte', 'Heath']",female,23,95008,d,6,8382641018,3,neutral,1454.2871137429318,{},False
78,78,"['Peter', 'Goodman']",male,32,95035,sm,4,9775195254,2,defensive,1229.8287765816654,{},False
79,79,"['Sarah', 'Dennis']",female,22,94538,sm,6,3251106278,1,defensive,1671.8930534845445,{},False
80,80,"['Peter', 'Clark']",male,31,95035,d,7,7171112564,4,neutral,1176.5078714722572,{},True
81,81,"['Akiko', 'Thomas']",female,34,94568,m,8,4351018309,3,defensive,1301.6072186552087,{},False
82,82,"['Sheila', 'Mcintyre']",female,27,94568,dm,1,3726680450,3,neutral,1930.1080101609575,{},True
83,83,"['Debra', 'Hillman']",female,32,94539,sdm,1,7901276176,3,neutral,1639.7464771196283,{},True
84,84,"['Patricia', 'Thompson']",female,15,94539,d,3,5842606437,2,neutral,1501.6364085852179,{},False
85,85,"['James', 'Porterfield']",male,33,94568,d,9,0579298825,3,aggressive,2191.148031840976,{},False
86,86,"['David', 'Kean']",male,32,94568,dm,6,5285076866,3,aggressive,1569.8784464273558,{},True
87,87,"['Hal', 'Noakes']",male,37,95008,sm,5,9855613197,5,neutral,1702.8581139834994,{},False
88,88,"['Morris', 'Appello']",male,31,95035,d,6,7257049470,3,aggressive,1588.4037320750472,{},False
89,89,"['Michael', 'Brooks']",male,24,94539,sd,0,0404784743,5,aggressive,1872.0982177260348,{},False
90,90,"['Jacob', 'Lee']",male,49,94539,s,11,2815395070,0,aggressive,1961.6259629065346,{},True
91,91,"['Jeffrey', 'Carter']",male,27,94539,sm,2,4724966708,1,aggressive,953.2972623525978,{},False
92,92,"['Clarence', 'Gambrill']",male,29,95035,sdm,2,2276608780,0,defensive,1665.0454004720596,{},False
93,93,"['Margret', 'Burger']",female,29,94568,s,3,1714401444,2,defensive,1785.8093113285643,{},False
94,94,"['Lisa', 'Burns']",female,28,94568,m,6,0725821508,2,neutral,1795.5671200942938,{},False
95,95,"['Jean', 'Robinson']",female,37,95051,sm,5,7300034599,1,defensive,1747.6724063587558,{},False
96,96,"['Amy', 'Ham']",female,24,94538,d,4,3750765688,1,neutral,1594.971898303725,{},False
97,97,"['Felipe', 'Chestnut']",male,36,94539,d,9,7796004565,2,neutral,1501.1084618118293,{},False
98,98,"['Katherine', 'Swanson']",female,28,95035,sd,7,6925122916,4,neutral,1826.797419375045,{},False
99,99,"['Yolanda', 'Wiser']",female,36,95035,sdm,2,4368284961,0,neutral,1547.1574895156346,{},False
100,100,"['Elba', 'Bridges']",female,37,94538,sdm,4,8863849720,0,aggressive,1496.569003839078,{},False
101,101,"['Brittany', 'Thao']",female,29,95008,sm,4,6148045330,5,neutral,1218.052754614839,{},False
102,102,"['Judith', 'Andrus']",female,25,95035,s,4,7452914093,2,defensive,1293.6859173405892,{},True
103,103,"['Brad', 'Enriquez']",male,19,94539,dm,1,6842986506,2,aggressive,1463.736528366088,{},True
104,104,"['Sydney', 'Shaw']",male,37,95035,d,5,8309310280,6,defensive,1347.8997594611496,{},False
105,105,"['Jason', 'Horne']",male,21,94539,d,0,1923851904,6,defensive,1869.2246549896347,{},True
106,106,"['Francine', 'Ohaver']",female,31,95051,sd,1,3201619118,4,aggressive,1472.9948135043107,{},False
107,107,"['Karma', 'Wilkerson']",female,41,95035,sdm,9,9539087248,2,neutral,1749.6598254740888,{},True
108,108,"['Ray', 'Sims']",male,41,94539,m,12,9529955961,1,neutral,1370.4670399897213,{},False
109,109,"['Flora', 'Anderson']",female,23,94568,s,0,4822443128,0,defensive,1825.087105507881,{},False
110,110,"['Rubi', 'Encallado']",female,22,94568,sdm,2,3584938664,3,neutral,1366.7071671528042,{},False
111,111,"['Thomas', 'Nelson']",male,36,95008,dm,8,3319363064,3,aggressive,1626.6831481326255,{},False
112,112,"['Connie', 'Arroyo']",female,25,94568,d,3,3742253755,2,aggressive,1247.9908519973617,{},False
113,113,"['Ann', 'Hayes']",female,34,94538,s,10,3874142415,1,neutral,1231.9105729225475,{},False
114,114,"['Grant', 'Arteaga']",male,11,94539,m,0,0139005296,6,aggressive,1866.9038138523583,{},False
115,115,"['Elizabeth', 'Hunt']",female,26,95035,m,5,4379588051,3,aggressive,1677.123841983638,{},False
116,116,"['Arcelia', 'Lalk']",female,20,94539,sdm,0,0110630933,0,neutral,995.2456565513664,{},False
117,117,"['Joan', 'Roush']",female,24,95035,s,5,2894575345,3,aggressive,1530.1129835968748,{},False
118,118,"['Carla', 'Mccracken']",female,18,95051,s,5,3721819485,0,neutral,1355.8244841372593,{},False
119,119,"['Oliver', 'Havard']",male,18,94568,s,5,5956212852,4,aggressive,1363.2261433188937,{},False
120,120,"['Christa', 'Riggan']",female,30,95035,sd,0,1987556441,1,defensive,1428.2702521866108,{},False
121,121,"['Amanda', 'English']",female,39,95035,sdm,5,9738058636,0,neutral,1541.465967775259,{},False
122,122,"['Jesse', 'Castillo']",male,34,94568,sm,7,7600494475,0,defensive,1635.8238258899376,{},False
123,123,"['Doris', 'Hall']",female,24,95008,sm,0,4703627907,1,defensive,1267.2098984009008,{},False
124,124,"['Dessie', 'Osborne']",female,32,94538,dm,1,8149844475,1,neutral,1685.3577433039738,{},False
125,125,"['Andy', 'Ramirez']",male,20,94568,s,3,0098499987,2,aggressive,1882.5707984538788,{},False
126,126,"['Brittany', 'Mclaughlin']",female,31,94568,sm,4,7218759914,5,neutral,1816.1224645374118,{},True
127,127,"['William', 'Powell']",male,36,94539,dm,1,6360300391,6,defensive,1253.863271794743,{},False
128,128,"['Mary', 'Manriquez']",female,26,95051,m,3,2629683636,5,defensive,1652.6208568898307,{},False
129,129,"['Cathy', 'Vaughn']",female,31,95051,sdm,6,8435525186,4,aggressive,1598.298473718551,{},True
130,130,"['Steven', 'Myers']",male,28,95008,sdm,2,2973111642,1,neutral,1021.365592781807,{},False
131,131,"['Ana', 'Avilla']",female,25,95035,d,1,2690721676,1,neutral,1313.7869963169314,{},False
132,132,"['Adam', 'Estes']",male,15,94538,sm,3,6785269497,6,defensive,1579.0253188924792,{},True
133,133,"['Leonard', 'Caldwell']",male,28,94539,s,2,0907031136,2,aggressive,1397.7484241137224,{},False
134,134,"['Buddy', 'Reeder']",male,26,94538,m,1,8211921086,0,neutral,1545.2214495288322,{},False
135,135,"['Nigel', 'Smith']",male,44,95008,d,9,0506963969,1,neutral,1269.9444693423598,{},True
136,136,"['Roslyn', 'Strauser']",female,35,95035,m,6,4689417514,5,aggressive,1677.578034192445,{},False
137,137,"['Roland', 'Taylor']",male,32,94539,d,1,1473758810,1,defensive,1475.7833272237363,{},False
138,138,"['Richard', 'Batchelder']",male,36,94538,sdm,7,3570908175,0,aggressive,1674.3004264494784,{},True
139,139,"['Carmen', 'Moody']",female,28,94538,sm,2,9896081532,4,defensive,1951.1413033496317,{},False
140,140,"['Timothy', 'Castano']",male,17,94538,sdm,0,5596767167,6,aggressive,1106.3584260529512,{},False
141,141,"['Nicole', 'Baldwin']",female,38,94568,sm,5,1354380338,2,neutral,1037.5818928312633,{},False
142,142,"['Julie', 'Rojas']",female,40,95051,sdm,3,2917869428,1,neutral,1661.6232440396273,{},False
143,143,"['Eric', 'Fann']",male,34,95035,sd,10,4868528334,2,aggressive,1423.0944535742292,{},False
144,144,"['Juan', 'Negron']",male,32,95035,d,6,1027447219,5,aggressive,902.1443770729129,{},False
145,145,"['Roberta', 'Muckle']",female,26,95035,sm,2,4441172291,2,neutral,1577.7833003574547,{},False
146,146,"['David', 'David']",male,37,95035,dm,7,2392154932,1,defensive,1997.1933329156655,{},False
147,147,"['Roger', 'Hamby']",male,22,95035,sm,5,3596581718,5,defensive,1430.1957561731265,{},True
148,148,"['Gary', 'Poage']",male,32,94539,sdm,5,8688730300,2,defensive,1672.1752888002209,{},False
149,149,"['Vonda', 'Bretthauer']",female,38,94539,d,3,0132456597,5,aggressive,923.0126787376003,{},True
150,150,"['Dottie', 'Jenkins']",female,27,95008,sdm,6,2778691196,1,neutral,1348.9320165296779,{},False
151,151,"['Leah', 'Reker']",female,21,94539,sd,0,6432949190,0,aggressive,1342.2667300336489,{},False
152,152,"['Walter', 'Jones']",male,34,94539,d,8,4711043882,4,aggressive,1752.2683076776912,{},False
153,153,"['Dewayne', 'Pecanty']",male,35,95035,sd,6,5685481704,0,defensive,1658.517427932734,{},True
154,154,"['Maude', 'Burton']",female,25,95035,d,6,5675488182,0,defensive,1407.9306283776205,{},False
155,155,"['Hope', 'Jordan']",female,34,95035,sm,0,2292073345,1,defensive,1757.647275154051,{},False
156,156,"['Scott', 'Mitchell']",male,32,94568,sm,4,5985380700,6,aggressive,1780.7854152154587,{},False
157,157,"['Roy', 'Reynolds']",male,29,94568,s,4,6333713031,1,neutral,1354.9041989354353,{},False
158,158,"['Thomas', 'Nelson']",male,36,95035,m,5,5563311374,4,aggressive,1269.1339434232068,{},False
159,159,"['Dale', 'Sims']",male,23,95035,sd,3,9920934319,0,aggressive,934.4704719559682,{},False
160,160,"['Jesus', 'Heinlein']",male,25,95035,m,1,0505729390,5,aggressive,1091.244146693374,{},True
161,161,"['John', 'Flores']",male,29,95051,s,6,8110221483,4,aggressive,1774.0698573513191,{},False
162,162,"['Harry', 'Cummings']",male,17,94538,s,2,6752548426,6,aggressive,1669.2860380490667,{},False
163,163,"['Muriel', 'Shields']",female,27,95051,sdm,3,4826537153,3,defensive,1439.5236709151761,{},False
164,164,"['Joanne', 'Rodriguez']",female,25,94538,d,4,8946801005,4,neutral,861.8396267066419,{},True
165,165,"['Annie', 'Main']",female,31,94539,sdm,6,1837491390,0,neutral,1602.0932253142116,{},True
166,166,"['Judith', 'Trahan']",female,39,94539,m,11,3461924029,3,neutral,1168.8339816254825,{},False
167,167,"['Lee', 'Sanders']",male,29,94539,m,0,4750063674,2,defensive,1733.3555561249202,{},False
168,168,"['Megan', 'Moret']",female,22,95051,sm,2,6347968601,0,neutral,1406.516747125029,{},False
169,169,"['Laura', 'Phipps']",female,22,95051,d,6,9758077735,4,aggressive,1592.651936877867,{},True
170,170,"['Marcus', 'Tucker']",male,38,95051,sdm,10,5183110937,2,neutral,1664.1367003692371,{},False
171,171,"['Eduardo', 'Lombardo']",male,27,94538,dm,7,4180806635,3,defensive,1185.5933410148737,{},False
172,172,"['Robert', 'Hadsell']",male,35,94568,sdm,3,8449319871,5,neutral,1268.7170302396403,{},False
173,173,"['Amanda', 'Radish']",female,32,95035,sdm,5,8387254278,1,neutral,1559.7782636832342,{},False
174,174,"['Lisa', 'Goodson']",female,37,95035,d,1,6111443818,5,aggressive,1519.400836089286,{},False
175,175,"['Mike', 'Johnson']",male,31,94538,d,7,6341434996,0,defensive,1618.9489392641958,{},False
176,176,"['William', 'Siddiqui']",male,34,94538,dm,9,3439247756,5,defensive,1018.5690610191914,{},False
177,177,"['Susan', 'Davila']",female,30,95035,sdm,9,3371707596,0,aggressive,1867.1650228229842,{},False
178,178,"['Jamie', 'Holly']",female,38,95051,m,0,7704242549,1,aggressive,1152.4004941882904,{},False
179,179,"['Kellie', 'Leighton']",female,33,94568,d,10,1353423374,1,aggressive,1643.8369501811403,{},False
180,180,"['Renato', 'Dunn']",male,25,95035,dm,4,3057353950,1,aggressive,1670.1627576100946,{},False
181,181,"['Marie', 'Nix']",female,29,94539,s,7,5070882386,4,defensive,1405.2490798926278,{},False
182,182,"['Henry', 'Schatzman']",male,28,95035,d,3,6045516844,4,aggressive,1583.5124073324623,{},False
183,183,"['Sandra', 'Davis']",female,29,95051,dm,3,4423893259,0,neutral,1396.3199761116018,{},False
184,184,"['Teresa', 'Harper']",female,32,94538,sdm,8,3933546725,1,aggressive,1996.4554478149882,{},False
185,185,"['Erik', 'Johns']",male,27,94539,sm,6,1483738644,4,aggressive,2005.696728496157,{},False
186,186,"['Rose', 'Sauceda']",female,24,95035,d,1,2667646503,5,neutral,909.6355089474642,{},False
187,187,"['Robert', 'Keys']",male,27,94568,dm,7,3915360077,2,aggressive,1695.4382576403314,{},True
188,188,"['Ruth', 'Leslie']",female,30,95035,sd,7,3874228322,4,neutral,2151.7982295688516,{},False
189,189,"['Melvin', 'Frick']",male,34,95008,d,9,7262083693,1,neutral,1408.7361351913717,{},False
190,190,"['Wendy', 'Dunlop']",female,27,94539,sm,3,3581258299,3,defensive,1221.9813440974108,{},False
191,191,"['Eugene', 'Marks']",male,30,95008,d,6,9596977557,4,aggressive,1837.774491610566,{},False
192,192,"['Annie', 'Langley']",female,33,95035,sdm,4,0445407278,0,defensive,1614.7626607021054,{},False
193,193,"['David', 'Biros']",male,32,95051,d,5,9563138259,3,neutral,1352.1919366857803,{},True
194,194,"['Robert', 'Adkins']",male,35,95035,dm,3,6775162683,5,aggressive,1170.1320113796276,{},False
195,195,"['Larry', 'Echevarria']",male,34,95008,s,8,0177695409,4,neutral,1698.4367149590182,{},False
196,196,"['Paula', 'Bode']",female,30,95035,d,9,4424758344,5,neutral,1911.4855680146181,{},False
197,197,"['Alyssa', 'Johnson']",female,25,94568,sm,3,3530218712,6,aggressive,1252.1555616875257,{},False
198,198,"['Thelma', 'Mcguire']",female,23,95008,sdm,5,8248424625,5,aggressive,1305.6306411569392,{},False
199,199,"['Elaine', 'Huskey']",female,35,95008,sdm,0,1431554087,6,neutral,1408.6581019928494,{},False
200,200,"['Jeffrey', 'Brown']",male,23,94568,sd,5,5753886695,4,aggressive,862.1992364395163,{},False
201,201,"['Betty', 'Soto']",female,23,95035,m,6,9703777009,4,neutral,950.6388617759306,{},False
202,202,"['David', 'Obrien']",male,33,94538,dm,7,5738810585,5,aggressive,1451.7650764003527,{},False
203,203,"['Carri', 'Perkins']",female,25,94538,sdm,3,7425594456,6,defensive,1052.4900238386592,{},False
204,204,"['Frank', 'Singleton']",male,19,95008,sdm,4,0697242189,5,neutral,1359.7934115760102,{},True
205,205,"['Dustin', 'Putt']",male,25,95008,sdm,6,5875546295,0,defensive,1420.9363293894526,{},False
206,206,"['Pat', 'Bame']",male,32,94539,sd,8,6542675114,5,neutral,1575.8532675842348,{},False
207,207,"['Anne', 'Hernandez']",female,27,94538,sdm,6,7390521491,5,defensive,2108.337943729962,{},True
208,208,"['James', 'House']",male,36,94538,sd,5,8373343301,4,neutral,1560.3113697348522,{},False
209,209,"['Thomas', 'Bissell']",male,27,94539,m,4,8429112936,0,neutral,1734.2001589975457,{},False
210,210,"['Aaron', 'Schofield']",male,21,95051,d,1,8908596711,0,aggressive,1626.5786140787543,{},False
211,211,"['Mary', 'White']",female,36,95008,dm,2,1006509853,5,aggressive,1629.6537972743708,{},False
212,212,"['Donna', 'Moore']",female,24,94538,dm,2,1661201794,0,neutral,1189.3211752594636,{},False
213,213,"['Jose', 'Currin']",male,27,95008,m,6,7969040443,6,neutral,1631.2212729548319,{},False
214,214,"['Nancy', 'Augustine']",female,33,95051,dm,3,8385693361,1,defensive,796.8686864637492,{},False
215,215,"['Aaron', 'Shultz']",male,20,95008,sd,1,3379616500,3,neutral,1202.8997925858907,{},False
216,216,"['Mary', 'Carignan']",female,29,95035,dm,3,4274472298,3,defensive,1504.9713869287955,{},True
217,217,"['Carl', 'May']",male,32,94539,d,6,6656034213,0,neutral,1358.3056021073448,{},True
218,218,"['Heriberto', 'Sanchez']",male,33,95008,sd,4,5293891750,3,defensive,1425.1629214929198,{},False
219,219,"['Tonya', 'Hermosillo']",female,21,95035,sd,5,5413550308,3,aggressive,1141.629806523618,{},True
220,220,"['Abraham', 'Cassidy']",male,28,94538,sd,0,8814047470,5,neutral,1379.450276107095,{},False
221,221,"['Suzanne', 'Jones']",female,33,95035,d,10,8579541563,3,defensive,1314.3257734819783,{},False
222,222,"['Colby', 'Selleck']",male,27,94538,s,3,0829896084,4,aggressive,1807.4377312339464,{},False
223,223,"['Bruce', 'Oconnor']",male,18,95051,sd,2,9973552766,5,defensive,1402.903810185023,{},True
224,224,"['Dorothy', 'Hanson']",female,38,94568,sd,3,2133934045,5,neutral,1608.8143673834045,{},True
225,225,"['Melanie', 'Dupes']",female,32,95051,s,0,0285556278,3,neutral,1354.0522962280713,{},False
226,226,"['Terrence', 'Roark']",male,25,94538,dm,2,0040943413,5,neutral,1689.448330784518,{},True
227,227,"['Juan', 'Lavelle']",male,34,95035,sm,1,1987793749,0,aggressive,1459.9628467047908,{},False
228,228,"['Carol', 'Carroll']",female,25,94539,sdm,5,0534754279,5,aggressive,1776.963722189368,{},True
229,229,"['Randy', 'Stockton']",male,14,95051,s,1,9696213912,3,neutral,1023.0322089448671,{},False
230,230,"['Joyce', 'White']",female,22,95035,m,0,7094434943,3,defensive,1336.6209758802577,{},False
231,231,"['Gary', 'Champion']",male,35,95008,sm,9,5867614827,5,defensive,1721.1616583557657,{},False
232,232,"['Olivia', 'Anderson']",female,31,94568,s,9,4992269261,5,neutral,1407.4678296093678,{},False
233,233,"['Rita', 'Phillips']",female,13,94539,m,2,0231631587,3,defensive,1301.424354945001,{},False
234,234,"['James', 'Lai']",male,23,95051,sd,6,1672766842,3,neutral,829.2078624802222,{},False
235,235,"['Marcella', 'Corzo']",female,24,94568,d,1,9027580724,6,aggressive,1535.000182754497,{},False
236,236,"['Joseph', 'Griffin']",male,30,95008,sd,8,4242309776,3,aggressive,2064.5185624779247,{},True
237,237,"['Lillie', 'Colwell']",female,50,95051,sd,4,1202800182,0,aggressive,1909.9568952050568,{},True
238,238,"['Heidi', 'Borsellino']",female,26,95008,sm,7,8192549797,1,neutral,1318.3968877577327,{},True
239,239,"['Andrew', 'Padilla']",male,30,94539,sdm,4,4576667927,4,defensive,805.1685928035931,{},True
240,240,"['Karen', 'Powers']",female,26,94568,m,4,8850622416,5,defensive,1211.7956970965924,{},False
241,241,"['Marsha', 'Bricker']",female,33,95035,sm,1,0052321614,6,neutral,1580.3322269786404,{},True
242,242,"['Maria', 'Johnston']",female,37,94538,dm,9,5555710594,0,defensive,1741.1333486837802,{},True
243,243,"['Jason', 'Kenney']",male,32,95008,s,2,3811388161,0,neutral,1530.4847219279036,{},False
244,244,"['Glenda', 'Holzinger']",female,28,95051,dm,7,7845497693,5,neutral,1615.260095211309,{},True
245,245,"['Daryl', 'Dahlin']",male,27,95008,dm,2,6943011080,6,aggressive,1126.5246187536643,{},True
246,246,"['Jose', 'Paulin']",male,25,94538,sd,5,8741074067,4,aggressive,1327.103938019051,{},False
247,247,"['Rolando', 'Ebeid']",male,21,94539,dm,1,0612291119,2,aggressive,1392.406615144588,{},False
248,248,"['Shane', 'Dillion']",male,20,95008,dm,0,6024311513,0,defensive,1325.649883947904,{},False
249,249,"['Minerva', 'Conroy']",female,40,95051,dm,8,4016445913,5,defensive,2007.2667643252435,{},False
