,Unnamed: 0,name,gender,age,zipCode,format,yearsOfExperience,phone,warehouse,style,skillRating,email,password,onlineStatus,matchStatus
24,24,warrensteffens,male,25,95035,d,4,298736849,5,defensive,1817.2766967638768,warrensteffens@sjsu.edu,Wgpv4ctftBmIv,False,False
25,25,joycekhalil,female,28,95051,d,8,9167629787,2,defensive,1759.5208888176412,joycekhalil@sjsu.edu,4K2QK3F6KO9H,True,True
26,26,keithpowell,male,17,94568,sd,2,1506816254,3,defensive,1597.5739008175256,keithpowell@sjsu.edu,XJCAwWOb,True,True
27,27,teresasilva,female,42,95035,sdm,2,3467852124,5,aggressive,1450.2541638265611,teresasilva@sjsu.edu,n36wEBEiTN7ChV,False,False
28,28,michaelkiefer,male,30,95008,sm,4,3637077357,3,defensive,1171.1353671994823,michaelkiefer@sjsu.edu,xrU8H1SVSCg,False,False
29,29,markoliver,male,23,94568,s,5,6349041203,1,aggressive,1685.94194469661,markoliver@sjsu.edu,nTUaYsJhZUq,True,True
30,30,deborahtarver,female,28,95035,d,5,9330695350,2,neutral,1425.500357687909,deborahtarver@sjsu.edu,TfmERysns,True,True
31,31,lorenbueter,male,32,95035,sm,1,4588131621,4,aggressive,1994.4248078265575,lorenbueter@sjsu.edu,n1bg2ZBFZ1JYpqq,True,True
32,32,mariapierce,female,24,95035,sm,1,8460073309,2,neutral,1565.7053248442503,mariapierce@sjsu.edu,xgLQcgL1hdzi,True,False
33,33,juliesandiford,female,27,95035,m,2,4802348086,2,aggressive,1588.9721121303105,juliesandiford@sjsu.edu,CzpJqsh4,False,False
34,34,herlindagraziani,female,33,94539,m,4,8511205784,1,defensive,1844.270651190268,herlindagraziani@sjsu.edu,kDxkQQCiE85xMIG,True,False
35,35,jamesswisher,male,25,94539,m,2,5439061355,3,defensive,1734.7162575883592,jamesswisher@sjsu.edu,W071sHBxDHVIY,False,False
36,36,gregorychristianson,male,22,94539,dm,5,6891512352,0,aggressive,1158.7956500964224,gregorychristianson@sjsu.edu,11wKCBEKokO,True,True
37,37,paulwilson,male,25,94568,d,5,1602935280,3,neutral,1607.277809296197,paulwilson@sjsu.edu,I5vCMLxX74pmS3,True,False
38,38,royortiz,male,35,95035,d,1,9515914361,5,defensive,1132.8512417318843,royortiz@sjsu.edu,VumilehxZqQQ4m,False,False
39,39,johnnysee,male,15,94538,sm,1,5129620459,3,aggressive,1724.368290004032,johnnysee@sjsu.edu,7aglhxhCUmc71Inp,False,False
40,40,brandibjork,female,30,95051,s,1,6354798024,3,defensive,889.7723132591123,brandibjork@sjsu.edu,YdRVt3wcz7RO51Z8,False,False
41,41,jamesmerrick,male,23,95035,m,0,3597569924,2,neutral,1161.8869957851523,jamesmerrick@sjsu.edu,wVtWO0HPd,True,True
42,42,tomasdalton,male,31,95035,sm,8,1052192299,1,neutral,1882.656537290481,tomasdalton@sjsu.edu,fOrO40mPfu4hKYux,False,False
43,43,emilycarlson,female,27,94568,s,6,9123939665,4,neutral,1542.8228069138188,emilycarlson@sjsu.edu,fDy9JmGKC,False,False
44,44,richardmccloud,male,38,94568,d,1,2848996622,0,neutral,1403.8805954091793,richardmccloud@sjsu.edu,mqxXU9ro9,False,False
45,45,martyvogel,female,34,94539,m,6,4759672288,2,neutral,1299.827489310345,martyvogel@sjsu.edu,kAJBT3UfF,False,False
46,46,samgrant,male,35,95035,sdm,4,5527478315,2,defensive,1728.0388870761071,samgrant@sjsu.edu,N9kQkZK9iqn,True,True
47,47,oliviaschroeder,female,32,94538,sd,8,7733137893,2,neutral,1749.2679118488466,oliviaschroeder@sjsu.edu,LDiMqR9SB1NEnWLi,False,False
48,48,patriciajohnson,female,29,95035,sdm,6,7475658181,1,aggressive,1110.240619128634,patriciajohnson@sjsu.edu,UO3QnsjovBqrTz9h,True,False
49,49,marydorsette,female,36,95008,m,10,8380229725,1,aggressive,1493.7360006330211,marydorsette@sjsu.edu,z1L7xhhald,True,True
50,50,carlosspeakman,male,25,94539,m,4,6856904955,3,defensive,1627.0355731651032,carlosspeakman@sjsu.edu,iPz8OPkRDsVKa,False,False
51,51,davidwillard,male,20,95035,d,1,2397736293,6,aggressive,1892.8656438037788,davidwillard@sjsu.edu,bV9B6WJnYUnBW,True,False
52,52,annettebrashier,female,24,94538,sd,3,4717239571,4,neutral,1337.3562587756714,annettebrashier@sjsu.edu,CC6nnocOSM,True,True
53,53,jorgesegura,male,35,95008,d,7,3849009453,1,neutral,1634.4523608220943,jorgesegura@sjsu.edu,dCpNROlFAuPk,False,False
54,54,brendalafosse,female,30,94538,sd,5,9714300703,1,neutral,1011.386918562839,brendalafosse@sjsu.edu,9Njg2g1Z,True,True
55,55,williambecerra,male,26,95051,sdm,7,6065561654,1,neutral,1241.878731084136,williambecerra@sjsu.edu,U2ypcMafj,True,True
56,56,morrishartranft,male,35,95008,sd,10,2657253,3,aggressive,1808.4747922731435,morrishartranft@sjsu.edu,Ik10Aoi0KjUc,False,False
57,57,samcavitt,male,30,94539,s,4,3157625183,6,aggressive,1868.8519174240655,samcavitt@sjsu.edu,RQ6f19Cn,True,True
58,58,davidwhite,male,33,95035,d,9,993176387,6,aggressive,1337.2551615715197,davidwhite@sjsu.edu,n2ws2pON,True,False
59,59,richardwarf,male,25,95008,s,0,1289195965,4,neutral,1119.012441473806,richardwarf@sjsu.edu,dam0buMfW5rC2s0,False,False
60,60,davidwood,male,37,95035,s,0,6063360150,5,defensive,1392.3397096067592,davidwood@sjsu.edu,w09cXLzoeLR5Qp2F,True,True
61,61,michellebunch,female,30,95008,sdm,3,8244691305,0,neutral,2187.2902278746765,michellebunch@sjsu.edu,op8G5A7u,False,False
62,62,nevamartin,female,27,95008,s,4,4719535841,3,neutral,1417.650261877356,nevamartin@sjsu.edu,R7UKBRjnEgmP,False,False
63,63,joanhassan,female,33,95035,s,0,1354339980,5,defensive,1942.348317122092,joanhassan@sjsu.edu,crVFBTtf1MwdgU,False,False
64,64,corialverson,female,35,95051,sd,0,2436024347,4,defensive,1063.333469369873,corialverson@sjsu.edu,lXOYy1fwM0R,True,True
65,65,dorothymoore,female,32,94568,sm,7,8896121256,4,neutral,1977.0195813240257,dorothymoore@sjsu.edu,RO1MGV7wcx,False,False
66,66,davidmoser,male,24,95035,dm,5,5140100390,5,defensive,1628.8428789921004,davidmoser@sjsu.edu,SkJL3eKGWz531Gyl,True,False
67,67,brucefreed,male,29,95035,dm,3,2376574215,6,defensive,1645.4940187152497,brucefreed@sjsu.edu,4xk9cbFFh,False,False
68,68,joewolfgang,male,27,95035,m,6,944229276,5,aggressive,1866.495303096921,joewolfgang@sjsu.edu,EyTwENp2cmm,True,False
69,69,johnflanagan,male,35,95035,dm,10,6324019575,5,neutral,1545.9368534436196,johnflanagan@sjsu.edu,8YAgz8H3yO,True,False
70,70,maritzaquintana,female,21,95051,sd,6,8107404501,3,aggressive,1851.022031355302,maritzaquintana@sjsu.edu,6tdE9h28j,True,True
71,71,juliaabrams,female,25,95008,d,4,7390708630,1,aggressive,1098.9586038045468,juliaabrams@sjsu.edu,pQW5rJqjWNgWp,True,False
72,72,yongarza,female,43,94568,sm,7,6968623119,4,aggressive,1727.2525259132087,yongarza@sjsu.edu,ZH32defO15YDJ,False,False
73,73,georgeschuster,male,25,94538,sdm,3,6174148211,5,defensive,1253.1605212719496,georgeschuster@sjsu.edu,bHAfKwVlj,False,False
74,74,christophersliva,male,31,94538,sd,0,1131063583,5,defensive,796.8428265480051,christophersliva@sjsu.edu,7b4z5zLmHt0tXiy,False,False
75,75,burmatrytten,female,35,94539,s,1,2921128139,3,aggressive,1411.439947801336,burmatrytten@sjsu.edu,jUgBArDOVcfW9eV,False,False
76,76,xavierdavis,male,33,95035,sd,3,2938876489,3,defensive,1057.6201077471617,xavierdavis@sjsu.edu,yarouoEV,True,False
77,77,charlotteheath,female,23,95008,d,6,8382641018,3,neutral,1454.2871137429318,charlotteheath@sjsu.edu,vjtkRxkn,True,True
78,78,petergoodman,male,32,95035,sm,4,9775195254,2,defensive,1229.8287765816654,petergoodman@sjsu.edu,zQAUcC1Sb,False,False
79,79,sarahdennis,female,22,94538,sm,6,3251106278,1,defensive,1671.8930534845445,sarahdennis@sjsu.edu,CxkllssoNDKJ8q8,False,False
80,80,peterclark,male,31,95035,d,7,7171112564,4,neutral,1176.5078714722572,peterclark@sjsu.edu,szqx3pF3J3lIEzb1,True,False
81,81,akikothomas,female,34,94568,m,8,4351018309,3,defensive,1301.6072186552087,akikothomas@sjsu.edu,QDx0oaqb3f,True,False
82,82,sheilamcintyre,female,27,94568,dm,1,3726680450,3,neutral,1930.1080101609573,sheilamcintyre@sjsu.edu,riyKqf4DXpI,True,False
83,83,debrahillman,female,32,94539,sdm,1,7901276176,3,neutral,1639.7464771196285,debrahillman@sjsu.edu,xIm2BFg0,True,False
84,84,patriciathompson,female,15,94539,d,3,5842606437,2,neutral,1501.636408585218,patriciathompson@sjsu.edu,N159pc7p8,True,False
85,85,jamesporterfield,male,33,94568,d,9,579298825,3,aggressive,2191.148031840976,jamesporterfield@sjsu.edu,jDCGPQZVDa9,True,True
86,86,davidkean,male,32,94568,dm,6,5285076866,3,aggressive,1569.8784464273558,davidkean@sjsu.edu,pdt9q0fJQ4RSyZ,True,True
87,87,halnoakes,male,37,95008,sm,5,9855613197,5,neutral,1702.8581139834994,halnoakes@sjsu.edu,nYkfCQgKM,False,False
88,88,morrisappello,male,31,95035,d,6,7257049470,3,aggressive,1588.4037320750472,morrisappello@sjsu.edu,MP4bH1Nsy1FWQ6Q6,True,True
89,89,michaelbrooks,male,24,94539,sd,0,404784743,5,aggressive,1872.0982177260348,michaelbrooks@sjsu.edu,QlR7UANuD0FGCn,False,False
90,90,jacoblee,male,49,94539,s,11,2815395070,0,aggressive,1961.6259629065344,jacoblee@sjsu.edu,63uYyHoCib,False,False
91,91,jeffreycarter,male,27,94539,sm,2,4724966708,1,aggressive,953.2972623525978,jeffreycarter@sjsu.edu,iidncrIg,True,False
92,92,clarencegambrill,male,29,95035,sdm,2,2276608780,0,defensive,1665.0454004720596,clarencegambrill@sjsu.edu,O4P3fCkinwjx,True,True
93,93,margretburger,female,29,94568,s,3,1714401444,2,defensive,1785.8093113285645,margretburger@sjsu.edu,nGz3Todi,True,True
94,94,lisaburns,female,28,94568,m,6,725821508,2,neutral,1795.5671200942938,lisaburns@sjsu.edu,4WEtOeHDwdS,True,False
95,95,jeanrobinson,female,37,95051,sm,5,7300034599,1,defensive,1747.6724063587558,jeanrobinson@sjsu.edu,YZcrcfYidk0Xt1Y,True,False
96,96,amyham,female,24,94538,d,4,3750765688,1,neutral,1594.971898303725,amyham@sjsu.edu,dG2CF4x55t,False,False
97,97,felipechestnut,male,36,94539,d,9,7796004565,2,neutral,1501.108461811829,felipechestnut@sjsu.edu,uI7iGMvhUkEBYi,False,False
98,98,katherineswanson,female,28,95035,sd,7,6925122916,4,neutral,1826.797419375045,katherineswanson@sjsu.edu,DSvPQi9yjy,True,True
99,99,yolandawiser,female,36,95035,sdm,2,4368284961,0,neutral,1547.1574895156346,yolandawiser@sjsu.edu,A4IVL9y1zbwn,False,False
100,100,elbabridges,female,37,94538,sdm,4,8863849720,0,aggressive,1496.569003839078,elbabridges@sjsu.edu,HntXL2gVH28,True,True
101,101,brittanythao,female,29,95008,sm,4,6148045330,5,neutral,1218.052754614839,brittanythao@sjsu.edu,QiidLi0hm6TT,True,True
102,102,judithandrus,female,25,95035,s,4,7452914093,2,defensive,1293.6859173405892,judithandrus@sjsu.edu,FLs86cXNoH8z6,True,True
103,103,bradenriquez,male,19,94539,dm,1,6842986506,2,aggressive,1463.736528366088,bradenriquez@sjsu.edu,w7DVDoCsqQwmkETg,False,False
104,104,sydneyshaw,male,37,95035,d,5,8309310280,6,defensive,1347.8997594611496,sydneyshaw@sjsu.edu,dF5RU6Ry4,False,False
105,105,jasonhorne,male,21,94539,d,0,1923851904,6,defensive,1869.2246549896347,jasonhorne@sjsu.edu,DmEcWEc8,True,True
106,106,francineohaver,female,31,95051,sd,1,3201619118,4,aggressive,1472.9948135043107,francineohaver@sjsu.edu,0NP0wgbl4FV,False,False
107,107,karmawilkerson,female,41,95035,sdm,9,9539087248,2,neutral,1749.6598254740888,karmawilkerson@sjsu.edu,MKWTRCzpI,False,False
108,108,raysims,male,41,94539,m,12,9529955961,1,neutral,1370.4670399897211,raysims@sjsu.edu,PoMZU7E1,False,False
109,109,floraanderson,female,23,94568,s,0,4822443128,0,defensive,1825.087105507881,floraanderson@sjsu.edu,Gqni7abXkhrf4V,True,True
110,110,rubiencallado,female,22,94568,sdm,2,3584938664,3,neutral,1366.7071671528042,rubiencallado@sjsu.edu,ApDGesZM5T,True,True
111,111,thomasnelson,male,36,95008,dm,8,3319363064,3,aggressive,1626.6831481326255,thomasnelson@sjsu.edu,FKejqvhKmEsa,True,False
112,112,conniearroyo,female,25,94568,d,3,3742253755,2,aggressive,1247.9908519973617,conniearroyo@sjsu.edu,lDrdGrZtqr9s,False,False
113,113,annhayes,female,34,94538,s,10,3874142415,1,neutral,1231.9105729225475,annhayes@sjsu.edu,AKXM5y6DkLV8whEg,True,True
114,114,grantarteaga,male,11,94539,m,0,139005296,6,aggressive,1866.9038138523583,grantarteaga@sjsu.edu,JEgf7CDCGv,False,False
115,115,elizabethhunt,female,26,95035,m,5,4379588051,3,aggressive,1677.123841983638,elizabethhunt@sjsu.edu,nUlyWOtPpToEABd,True,True
116,116,arcelialalk,female,20,94539,sdm,0,110630933,0,neutral,995.2456565513664,arcelialalk@sjsu.edu,3e6WfN2F,False,False
117,117,joanroush,female,24,95035,s,5,2894575345,3,aggressive,1530.1129835968748,joanroush@sjsu.edu,burx5BV5I,False,False
118,118,carlamccracken,female,18,95051,s,5,3721819485,0,neutral,1355.824484137259,carlamccracken@sjsu.edu,VvXEX138Xg,False,False
119,119,oliverhavard,male,18,94568,s,5,5956212852,4,aggressive,1363.2261433188935,oliverhavard@sjsu.edu,pzKPwvwQXm1nwP,True,False
120,120,christariggan,female,30,95035,sd,0,1987556441,1,defensive,1428.2702521866108,christariggan@sjsu.edu,fby1UGPzC60RHZr9,False,False
121,121,amandaenglish,female,39,95035,sdm,5,9738058636,0,neutral,1541.465967775259,amandaenglish@sjsu.edu,813jeIPOcFHR3w,True,True
122,122,jessecastillo,male,34,94568,sm,7,7600494475,0,defensive,1635.8238258899376,jessecastillo@sjsu.edu,KfRZpeQ5YeE,True,False
123,123,dorishall,female,24,95008,sm,0,4703627907,1,defensive,1267.2098984009008,dorishall@sjsu.edu,MHKCL2QhjIc,True,True
124,124,dessieosborne,female,32,94538,dm,1,8149844475,1,neutral,1685.3577433039738,dessieosborne@sjsu.edu,dHvzEwQsKC2XED,True,True
125,125,andyramirez,male,20,94568,s,3,98499987,2,aggressive,1882.5707984538788,andyramirez@sjsu.edu,lw7qaQNiEpO9Wy,True,False
126,126,brittanymclaughlin,female,31,94568,sm,4,7218759914,5,neutral,1816.122464537412,brittanymclaughlin@sjsu.edu,LEFIaZmGmAf0iWV,True,True
127,127,williampowell,male,36,94539,dm,1,6360300391,6,defensive,1253.863271794743,williampowell@sjsu.edu,9kZY1tickDC8iEKM,False,False
128,128,marymanriquez,female,26,95051,m,3,2629683636,5,defensive,1652.6208568898307,marymanriquez@sjsu.edu,zsnU0o8pE,False,False
129,129,cathyvaughn,female,31,95051,sdm,6,8435525186,4,aggressive,1598.298473718551,cathyvaughn@sjsu.edu,ojbZGDV5GpZJC,True,False
130,130,stevenmyers,male,28,95008,sdm,2,2973111642,1,neutral,1021.365592781807,stevenmyers@sjsu.edu,EiQR6nsm,False,False
131,131,anaavilla,female,25,95035,d,1,2690721676,1,neutral,1313.7869963169314,anaavilla@sjsu.edu,CqMSHAs4c,True,False
132,132,adamestes,male,15,94538,sm,3,6785269497,6,defensive,1579.0253188924792,adamestes@sjsu.edu,6ENmptK1bw,True,False
133,133,leonardcaldwell,male,28,94539,s,2,907031136,2,aggressive,1397.7484241137224,leonardcaldwell@sjsu.edu,nL8VEeQlH26,False,False
134,134,buddyreeder,male,26,94538,m,1,8211921086,0,neutral,1545.2214495288322,buddyreeder@sjsu.edu,qc9FW8yobxWV3yc,False,False
135,135,nigelsmith,male,44,95008,d,9,506963969,1,neutral,1269.9444693423598,nigelsmith@sjsu.edu,iHkQz2wmHcYGy,False,False
136,136,roslynstrauser,female,35,95035,m,6,4689417514,5,aggressive,1677.578034192445,roslynstrauser@sjsu.edu,jDA44wG3Xv,False,False
137,137,rolandtaylor,male,32,94539,d,1,1473758810,1,defensive,1475.7833272237365,rolandtaylor@sjsu.edu,FNyanzgo,True,True
138,138,richardbatchelder,male,36,94538,sdm,7,3570908175,0,aggressive,1674.3004264494784,richardbatchelder@sjsu.edu,DzvM9hNPbzg,True,True
139,139,carmenmoody,female,28,94538,sm,2,9896081532,4,defensive,1951.141303349632,carmenmoody@sjsu.edu,dFFJQvysqovYdz,False,False
140,140,timothycastano,male,17,94538,sdm,0,5596767167,6,aggressive,1106.3584260529512,timothycastano@sjsu.edu,uf1cAmpj0oM,False,False
141,141,nicolebaldwin,female,38,94568,sm,5,1354380338,2,neutral,1037.5818928312633,nicolebaldwin@sjsu.edu,fYWJ0oncwuW9NZE,False,False
142,142,julierojas,female,40,95051,sdm,3,2917869428,1,neutral,1661.6232440396273,julierojas@sjsu.edu,U23MAd7k,True,False
143,143,ericfann,male,34,95035,sd,10,4868528334,2,aggressive,1423.0944535742292,ericfann@sjsu.edu,nMi8Zo5WYFHFilUg,False,False
144,144,juannegron,male,32,95035,d,6,1027447219,5,aggressive,902.1443770729128,juannegron@sjsu.edu,VzgZdT53EaNd0W,True,True
145,145,robertamuckle,female,26,95035,sm,2,4441172291,2,neutral,1577.783300357455,robertamuckle@sjsu.edu,XhzK9R0P,False,False
146,146,daviddavid,male,37,95035,dm,7,2392154932,1,defensive,1997.1933329156652,daviddavid@sjsu.edu,4Dwr3wohJYi,False,False
147,147,rogerhamby,male,22,95035,sm,5,3596581718,5,defensive,1430.1957561731265,rogerhamby@sjsu.edu,yZ8j13lpjZiVk3C2,True,True
148,148,garypoage,male,32,94539,sdm,5,8688730300,2,defensive,1672.1752888002209,garypoage@sjsu.edu,E6rHcsu6sDVgg,True,False
149,149,vondabretthauer,female,38,94539,d,3,132456597,5,aggressive,923.0126787376004,vondabretthauer@sjsu.edu,ZChcLaWDwKIbTj3j,False,False
150,150,dottiejenkins,female,27,95008,sdm,6,2778691196,1,neutral,1348.932016529678,dottiejenkins@sjsu.edu,3CxJJb8UIrl,True,True
151,151,leahreker,female,21,94539,sd,0,6432949190,0,aggressive,1342.2667300336489,leahreker@sjsu.edu,PH7X79ZRMtEGXrk,True,False
152,152,walterjones,male,34,94539,d,8,4711043882,4,aggressive,1752.2683076776912,walterjones@sjsu.edu,saDFXRYT,True,True
153,153,dewaynepecanty,male,35,95035,sd,6,5685481704,0,defensive,1658.517427932734,dewaynepecanty@sjsu.edu,yhBviTWDuvZi,False,False
154,154,maudeburton,female,25,95035,d,6,5675488182,0,defensive,1407.9306283776205,maudeburton@sjsu.edu,c2VDFJrg,False,False
155,155,hopejordan,female,34,95035,sm,0,2292073345,1,defensive,1757.647275154051,hopejordan@sjsu.edu,9R57EVSaUk822qN,True,False
156,156,scottmitchell,male,32,94568,sm,4,5985380700,6,aggressive,1780.785415215459,scottmitchell@sjsu.edu,FZK0rlrNdY,True,True
157,157,royreynolds,male,29,94568,s,4,6333713031,1,neutral,1354.9041989354353,royreynolds@sjsu.edu,vjyHVcYDTfJ7rg,False,False
158,158,thomasnelson,male,36,95035,m,5,5563311374,4,aggressive,1269.1339434232068,thomasnelson@sjsu.edu,RkaN1xVyeb,False,False
159,159,dalesims,male,23,95035,sd,3,9920934319,0,aggressive,934.4704719559682,dalesims@sjsu.edu,yieDibXD2rYeV3J,False,False
160,160,jesusheinlein,male,25,95035,m,1,505729390,5,aggressive,1091.244146693374,jesusheinlein@sjsu.edu,DCb5upi9,False,False
161,161,johnflores,male,29,95051,s,6,8110221483,4,aggressive,1774.0698573513191,johnflores@sjsu.edu,X93MaCC5Wjtk4f7V,False,False
162,162,harrycummings,male,17,94538,s,2,6752548426,6,aggressive,1669.2860380490667,harrycummings@sjsu.edu,2jY5pvTN3,True,True
163,163,murielshields,female,27,95051,sdm,3,4826537153,3,defensive,1439.523670915176,murielshields@sjsu.edu,DOOQsrjZNuAlp,False,False
164,164,joannerodriguez,female,25,94538,d,4,8946801005,4,neutral,861.8396267066419,joannerodriguez@sjsu.edu,kxRcOYYbJO,True,True
165,165,anniemain,female,31,94539,sdm,6,1837491390,0,neutral,1602.0932253142116,anniemain@sjsu.edu,dWgCVGfBY84IUpI,False,False
166,166,judithtrahan,female,39,94539,m,11,3461924029,3,neutral,1168.8339816254825,judithtrahan@sjsu.edu,giilin2eU,False,False
167,167,leesanders,male,29,94539,m,0,4750063674,2,defensive,1733.3555561249202,leesanders@sjsu.edu,wIVttxbWJMs,True,True
168,168,meganmoret,female,22,95051,sm,2,6347968601,0,neutral,1406.516747125029,meganmoret@sjsu.edu,wyzEAdGA9Tp8Ah9,True,False
169,169,lauraphipps,female,22,95051,d,6,9758077735,4,aggressive,1592.651936877867,lauraphipps@sjsu.edu,9Wcv3gdr,True,False
170,170,marcustucker,male,38,95051,sdm,10,5183110937,2,neutral,1664.1367003692371,marcustucker@sjsu.edu,KCWQ8JoBq37q1I,True,False
171,171,eduardolombardo,male,27,94538,dm,7,4180806635,3,defensive,1185.5933410148737,eduardolombardo@sjsu.edu,MHWNutBBCg0,False,False
172,172,roberthadsell,male,35,94568,sdm,3,8449319871,5,neutral,1268.7170302396405,roberthadsell@sjsu.edu,Z8CxrSjf80,True,False
173,173,amandaradish,female,32,95035,sdm,5,8387254278,1,neutral,1559.7782636832342,amandaradish@sjsu.edu,wnbdBztPOTQ,True,False
174,174,lisagoodson,female,37,95035,d,1,6111443818,5,aggressive,1519.400836089286,lisagoodson@sjsu.edu,KRxGAw24HlG,True,True
175,175,mikejohnson,male,31,94538,d,7,6341434996,0,defensive,1618.9489392641958,mikejohnson@sjsu.edu,sDUvYrvrTxprYE,True,False
176,176,williamsiddiqui,male,34,94538,dm,9,3439247756,5,defensive,1018.5690610191914,williamsiddiqui@sjsu.edu,BMf4TfZo4Ost5Am,False,False
177,177,susandavila,female,30,95035,sdm,9,3371707596,0,aggressive,1867.165022822984,susandavila@sjsu.edu,hNhXn12I67,True,False
178,178,jamieholly,female,38,95051,m,0,7704242549,1,aggressive,1152.4004941882904,jamieholly@sjsu.edu,nxgC7gIIAO,True,True
179,179,kellieleighton,female,33,94568,d,10,1353423374,1,aggressive,1643.8369501811403,kellieleighton@sjsu.edu,tlD9yJJ4FHaGSaWo,False,False
180,180,renatodunn,male,25,95035,dm,4,3057353950,1,aggressive,1670.1627576100946,renatodunn@sjsu.edu,gdTw38OnMiu,False,False
181,181,marienix,female,29,94539,s,7,5070882386,4,defensive,1405.2490798926278,marienix@sjsu.edu,biAp1toXXbRA,False,False
182,182,henryschatzman,male,28,95035,d,3,6045516844,4,aggressive,1583.5124073324623,henryschatzman@sjsu.edu,iD92Wazh,False,False
183,183,sandradavis,female,29,95051,dm,3,4423893259,0,neutral,1396.3199761116018,sandradavis@sjsu.edu,oTB2Vqs2HSwT,False,False
184,184,teresaharper,female,32,94538,sdm,8,3933546725,1,aggressive,1996.455447814988,teresaharper@sjsu.edu,p4W7UKewz8Z7QXkq,True,False
185,185,erikjohns,male,27,94539,sm,6,1483738644,4,aggressive,2005.696728496157,erikjohns@sjsu.edu,8IJotVb2FbtN2,False,False
186,186,rosesauceda,female,24,95035,d,1,2667646503,5,neutral,909.6355089474642,rosesauceda@sjsu.edu,zCz7ecgeXng8p,False,False
187,187,robertkeys,male,27,94568,dm,7,3915360077,2,aggressive,1695.4382576403314,robertkeys@sjsu.edu,K6UqvGXvP5,True,True
188,188,ruthleslie,female,30,95035,sd,7,3874228322,4,neutral,2151.798229568852,ruthleslie@sjsu.edu,9bNscYhzR0D6Fv3e,True,False
